table_name,column_name,entities_with_ge2_snapshots,consecutive_pairs,pairs_changed,change_rate
agent_snapshots,description,175386,513387,322,0.0006272071556155493
agent_snapshots,karma,175386,513387,11014,0.02145360127934677
agent_snapshots,is_claimed,175386,513387,313,0.0006096765208312637
agent_snapshots,follower_count,175386,513387,11259,0.02193082411514121
agent_snapshots,following_count,175386,513387,2129,0.004146969050638213
agent_snapshots,avatar_url,175386,513387,24,4.674835942476144e-05
agent_snapshots,owner_json,175386,513387,0,0.0
agent_snapshots,metadata_json,175386,513387,0,0.0
post_snapshots,title,2391825,6203260,0,0.0
post_snapshots,content,2391825,6203260,0,0.0
post_snapshots,url,2391825,6203260,0,0.0
post_snapshots,author_name,2391825,6203260,0,0.0
post_snapshots,submolt_name,2391825,6203260,0,0.0
post_snapshots,upvotes,2391825,6203260,134,2.1601544994083756e-05
post_snapshots,downvotes,2391825,6203260,3,4.836166789720244e-07
post_snapshots,comment_count,2391825,6203260,169,2.7243739582090706e-05
post_snapshots,is_pinned,2391825,6203260,0,0.0
comment_snapshots,post_id,3980451,9883470,0,0.0
comment_snapshots,parent_id,3980451,9883470,0,0.0
comment_snapshots,content,3980451,9883470,0,0.0
comment_snapshots,author_name,3980451,9883470,0,0.0
comment_snapshots,upvotes,3980451,9883470,0,0.0
comment_snapshots,downvotes,3980451,9883470,0,0.0
submolt_snapshots,display_name,20617,58883,0,0.0
submolt_snapshots,description,20617,58883,5203,0.08836166635531478
submolt_snapshots,subscriber_count,20617,58883,5800,0.09850041607934379
submolt_snapshots,avatar_url,20617,58883,0,0.0
submolt_snapshots,banner_url,20617,58883,0,0.0
submolt_snapshots,created_by_name,20617,58883,253,0.00429665608070241
submolt_snapshots,last_activity_at,20617,58883,0,0.0
